video_id,title,channel_title,original_comment_count,collected_comments
83C3TZ4Zm_o,aespa 에스파 'LEMONADE' MV,SMTOWN,37914.0,1240
iTJSbJtS8MU,aespa 에스파 'WDA (Whole Different Animal) (Feat. G-DRAGON)' MV,SMTOWN,34721.0,1246
vgm_l2B6N10,송파 '미개표' 추가 발견..서울시의원 비례 결과 뒤집혀 / SBS,SBS 뉴스,31103.0,1114
OrCOflk2QmQ,갸루와 거제에 왔습니다 (거제 1편),안녕하세요원이입니다잘부탁드립니다,31026.0,1270
V1Lr-_AxeR8,LE SSERAFIM (르세라핌) 'BOOMPALA' OFFICIAL MV,HYBE LABELS,25712.0,1256
JJBf0jCcfrQ,떡상 전 성수나들이 (사투리2편),안녕하세요원이입니다잘부탁드립니다,23065.0,1246
SF29doLuBfc,갸루와 거제 2편,안녕하세요원이입니다잘부탁드립니다,19808.0,1260
9jKRDm2_MFA,지방선거 '투표용지 부족 사태'에 분노한 시민들 - BBC News 코리아,BBC News 코리아,19568.0,1279
hXEoRODhP2M,"대통령도 줄 서서 하는데,  '특권이 당연한' 준스톤",폴리티카 POLITICA,17283.0,1089
Mt4Syt3SJ5w,"""기술 넘기겠다"" vs ""깡패 같다""...삼성전자 내부도 시끌 [뉴스플레이리스트] / 채널A",채널A News,17192.0,973
nzLeZy4rlzc,"""전 국민 대상"" 삼성전자 역대급 혜택 공개 [지금이뉴스] / YTN", YTN,16988.0,1236
JIOlcGWJp4o,이진숙 등장에 국회 '술렁'…단상 오르자마자 '작심 발언' / KNN,KNN NEWS,15002.0,1038
Y4AFoQLYlfc,'선거 후에는 보지 맙시다'..분노 참은 두 사람 '독설' [뉴스.zip/MBC뉴스],MBCNEWS,13348.0,872
0iGRUEe3PSA,기자들도 포기한 노조위원장 삼성 이재용과 비교되는 진짜 이유,그분이 알고싶다,11920.0,1290
D15EzCvt3H4,삼성노조도 결국 이대통령이 해결하나? 노조갈등 해결하는 유일한 방법 #이재명 #이재용 #더불어민주당,정치한줄,11802.0,1167
Dgsuje8GDRE,"선거 논란으로 민심이 들끓고 있는 가운데, 태극기를 든 시민들과 경찰 사이의 충돌 장면이 온라인에서 빠르게 확산되고 있습니다  #대한민국 #정치 #정치이슈 #america",브리핑코리아,11287.0,908
k6kYpcgueyk,"1인 6억원 성과급 작다, '정부 헛소리 말라'는 삼성노조위원장",이슈카톡,11143.0,1034
PojSpr-ifYI,사실상 회사 '완승'...삼성전자 파업 앞두고 법원이 내린 판단 [지금이뉴스] / YTN, YTN,9508.0,1091
KNPcN3U5QbI,“김부겸마져 안되면 누가 나가나?” #김부겸 #스픽스 #대구시장 #선거 #ㄹㅇ뉴스 #쇼츠,ㄹㅇ뉴스,9203.0,1254
RwlgFC6S-OE,Ex-Google Officer: You Only Have 3 Years Left Before It Hits! - Mo Gawdat,The Diary Of A CEO,8937.0,1079
aJGRyHTv6XE,설윤 홍보,김선태,8726.0,1194
x3EX1ki9sEw,"[속보] 이재용 삼성 회장 ""심려 끼쳐 죄송"" 대국민 사과 [현장영상] / 채널A",채널A News,8562.0,1120
cHT6T04cRCk,"""이건 좌우의 문제 아니야"" 서울 최대 매장 가보니.. [뉴스.zip/MBC뉴스]",MBCNEWS,8474.0,1050
L1U2jn9fvh8,"""오세훈 서울시장 당선인데 재투표합니까? 중단합니까?"" [26. 6. 4.]",제주MBC NEWS,8453.0,1173
a8uroQcvMf0,"“겸허히 수용” 국힘, ‘재선거’ 급선회…“결과수용 불가” / KBS 2026 지방선거 2026.06.04.",KBS News,8257.0,1063
Gd1V6sJZm0E,"""회사 위해 일하면 해고"" '으름장'..법원이 꺼낸 '1일 1억' 근거됐다 (자막뉴스) / SBS",SBS 뉴스,8254.0,954
eLDUd9n7Lxc,살다 살다 '투표용지 부족'으로 투표 못 한 2026년 대한민국 근황｜크랩,크랩 KLAB,7992.0,1269
UeVlQuohfAs,삼성 노조위원장의 실체,토미의 트레이딩TV,7969.0,960
zgYhwgy4QTA,"""아직 오세훈 당선 아니다"" 서울선관위의 황당한 입장",보수넘버원,7951.0,814
UbWXU-lFTQY,다시 선거하자!!  #shorts #쇼츠 #정치풍자 #레전드 #오세훈 #잠실투표소,폴리버스,7565.0,1101
