category,keyword,google_interest,naver_interest,video_count,avg_view_count,median_view_count,avg_like_count,avg_comment_count,million_view_count,avg_views_per_day,median_views_per_day,million_view_ratio
IT/경제,엔비디아,3.0333329999999994,1.9902890000000002,30,1780813.7333333334,824504.0,18898.137931034482,753.4137931034483,9,210674.0572027499,72559.11764705883,0.3
엔터/문화,뉴진스,0.5931840000000002,0.24003400000000003,30,881897.5333333333,604380.0,10920.862068965518,348.8333333333333,9,123273.73678668552,51948.86363636364,0.3
정치/사회,국회,1.2445000000000002,0.12130299999999998,30,989601.3666666667,723512.0,33786.275862068964,1728.2758620689656,12,291610.36923482444,155363.0,0.4
정치/사회,여론조사,1.811636,0.3548220000000001,30,1028249.1666666666,1133468.0,45290.86666666667,1159.2666666666667,16,87632.31742739608,75872.76190476191,0.5333333333333333
지역,거제,1.217008,0.08875999999999999,30,2538188.1666666665,1879801.0,38510.73333333333,2219.133333333333,29,195891.55031797243,148545.42857142858,0.9666666666666667
IT/경제,환율,9.366667,40.505722,30,402500.4,345558.0,10038.933333333332,1176.9333333333334,0,101090.24940566967,60413.0,0.0
엔터/문화,에스파,0.6871720000000001,0.29044,30,3831367.7,1819813.0,91887.62068965517,3588.1666666666665,27,323375.34058394196,147428.0,0.9
정치/사회,대통령,3.0785,0.11606000000000002,30,2716600.9,2505539.0,55504.3,2873.9,30,186665.36345734738,157974.26315789475,1.0
지역,서울,27.52310599999999,0.287752,30,1900759.0666666667,1665993.0,42537.76666666667,3721.133333333333,24,282380.06742857327,166232.0,0.8
지역,충주,1.030267,0.11277099999999998,30,676170.6,465640.0,14531.107142857143,1396.7666666666667,7,78876.33870671249,32885.35,0.23333333333333334
IT/경제,AI,62.3,0.303763,30,9359916.6,7337999.0,128001.29629629629,1474.4666666666667,30,899696.4835957416,751846.0,1.0
IT/경제,삼성,65.5,1.1173630000000003,30,2264213.7666666666,1857078.0,50314.34482758621,4704.233333333334,29,202701.8671351978,94760.03448275862,0.9666666666666667
엔터/문화,아이브,0.937053,0.23453100000000002,30,3065831.2333333334,2688077.0,35797.7,828.3,29,199100.26525027765,140145.63157894736,0.9666666666666667
정치/사회,대선,0.262,0.08919999999999999,30,593097.1,478965.0,15711.1,709.4333333333333,5,136840.1146633613,58576.5,0.16666666666666666
정치/사회,선거,14.70475,2.9931899999999994,30,1785251.1666666667,1732639.0,48092.6,4008.633333333333,28,329419.187562931,331574.25,0.9333333333333333
지역,부산,14.978561000000001,0.33569400000000005,30,1659749.9333333333,1495479.0,38564.65517241379,2443.0,26,222686.14483629554,105435.7,0.8666666666666667
지역,여수,1.342469,0.150732,30,149399.66666666666,126035.0,2105.214285714286,222.6,0,14011.219597607587,10644.0,0.0
IT/경제,반도체,11.433333000000001,0.14258900000000002,30,1076004.8666666667,958993.0,14329.633333333333,765.0,13,93289.99324864056,63523.666666666664,0.43333333333333335
엔터/문화,르세라핌,0.249762,0.32362299999999994,30,4212721.433333334,2988621.0,92402.23333333334,1781.3333333333333,30,289922.65026885277,199241.4,1.0
엔터/문화,리센느,1.999046,1.5759550000000002,30,4134796.1333333333,3171935.0,52433.89655172414,2489.1,30,325491.88118775445,258500.68,1.0
